"","RESUB-8","RESUB-7","RESUB-6","RESUB-5","RESUB-4","RESUB-3","RESUB-2","RESUB-1"
"ENSMUSG00000102693",0,0,0,0,0,0,0,0
"ENSMUSG00000064842",0,0,0,0,0,0,0,0
"ENSMUSG00000051951",0,0,0,0,0,0,0,0
"ENSMUSG00000102851",0,0,0,0,0,0,0,0
"ENSMUSG00000103377",0,0,0,0.088,0,0,0,0
"ENSMUSG00000104017",0,0,0,0,0,0,0,0
"ENSMUSG00000103025",0,0,0,0,0,0,0,0
"ENSMUSG00000089699",0,0,0,0,0,0,0,0
"ENSMUSG00000103201",0,0,0,0,0,0,0,0
"ENSMUSG00000103147",0,0,0,0.134,0,0,0,0
"ENSMUSG00000103161",0,0,0,0,0,0,0,0
"ENSMUSG00000102331",0,0,0,0.0381,0,0,0,0
"ENSMUSG00000102348",0,0,0,0,0,0,0,0
"ENSMUSG00000102592",0,0,0,0,0,0,0,0
"ENSMUSG00000088333",0,0,0,0,0,0,0,0
"ENSMUSG00000102343",0,0,0,0,0,0,0,0
"ENSMUSG00000025900",0.0411,0,0,0,0,0,0,0
"ENSMUSG00000102948",0,0,0,0,0,0,0,0
"ENSMUSG00000104123",0,0,0,0,0,0,0,0
"ENSMUSG00000025902",0,0,0.0231,0.208,0.0688,0,0,0
"ENSMUSG00000104238",0,0,0,0,0,0,0,0
"ENSMUSG00000102269",0,0,0,0,0,0,0,0
"ENSMUSG00000096126",0,0,0,0,0,0,0,0
"ENSMUSG00000103003",0,0,0,0,0,0,0,0
"ENSMUSG00000104328",0,0,0,0,0,0,0,0
"ENSMUSG00000102735",0,0,0,0,0,0,0,0
"ENSMUSG00000098104",0.0861,0.1585,1.1265,0.422,0.2234,0.1474,0.2903,0.3667
"ENSMUSG00000102175",0,0.1932,0,0,0,0,0,0.1788
"ENSMUSG00000088000",0,0,1.0718,0,0,0,0,0
"ENSMUSG00000103265",0,0,0,0.1966,0,0,0,0
"ENSMUSG00000103922",0,0.6539,1.0327,0.2321,0.7167,0.2027,0.6986,0.3025
"ENSMUSG00000033845",1.5058,12.0249,11.9017,6.8129,11.5938,10.9419,9.1392,9.8441
"ENSMUSG00000102275",0,1.1144,0.288,1.5105,0.4759,0.848,0.7422,0.8437
"ENSMUSG00000025903",3.8076,19.6479,17.459,11.4267,17.7542,16.9402,15.1413,13.4584
"ENSMUSG00000104217",0,0.4236,0.1338,0,0,0.7881,0,0.1307
"ENSMUSG00000033813",13.3372,77.6162,71.2417,48.2415,80.8639,79.6982,64.9623,60.0652
"ENSMUSG00000062588",0.2098,0,0.5492,0.8231,0.1815,0.5391,0.1769,0.1788
"ENSMUSG00000103280",0,0.3146,0,0,0,0,0,0
"ENSMUSG00000002459",0,0,0,0.1756,0,0.0256,0,0
"ENSMUSG00000091305",0,0,0,0,0,0,0,0
"ENSMUSG00000102653",0.1185,0,0,0,0.0513,0,0.05,0
"ENSMUSG00000085623",0,0,0,0.0333,0,0,0,0
"ENSMUSG00000091665",0,0,0,0,0,0,0,0
"ENSMUSG00000033793",1.7917,10.6269,10.1944,9.1792,11.0057,10.2178,8.8344,9.1587
"ENSMUSG00000104352",0,0,0,0,0,0,0,0
"ENSMUSG00000104046",0,0,0,0,0,0,0,0
"ENSMUSG00000102907",0,0,0,0,0,0,0,0
"ENSMUSG00000025905",0,0.0127,0,0,0,0,0,0
"ENSMUSG00000103936",0,0,0,0,0,0,0,0
"ENSMUSG00000093015",0,0,0,3.6855,0,0,0,0
"ENSMUSG00000103519",0,0,0,0,0,0,0,0
"ENSMUSG00000033774",0,0,0,0,0,0,0,0
"ENSMUSG00000103090",0,0,0,0,0,0,0,0
"ENSMUSG00000025907",0.4307,3.3785,3.7574,3.2941,3.9116,3.2604,2.985,2.884
"ENSMUSG00000090031",0.0699,0.279,0.3254,0.2286,0.3025,0.1198,0.2359,0.2582
"ENSMUSG00000087247",0,0,0,0,0.1127,0,0,0
"ENSMUSG00000103355",0,0,0.1728,0,0,0,0,0
"ENSMUSG00000102706",0,0,0,0.2623,0,0,0,0
"ENSMUSG00000103845",0,0,0,0.0274,0,0,0,0
"ENSMUSG00000033740",0.0783,0.018,0.0342,0.0768,0,0.1006,0,0.0167
"ENSMUSG00000103329",0,0,0,0,0,0,0,0
"ENSMUSG00000104385",0,0,0,0,0,0,0,0
"ENSMUSG00000102135",0.2021,0.9305,1.9398,1.1893,0.6994,0.5193,1.193,1.3777
"ENSMUSG00000103282",0,0,0,0,0,0,0,0
"ENSMUSG00000102534",0,0,0,0,0,0,0,0
"ENSMUSG00000102213",0,0,0,0,0,0,0,0
"ENSMUSG00000103629",0,0,0,0,0,0,0,0
"ENSMUSG00000051285",1.9777,16.7556,18.4985,11.3562,15.9061,15.9266,15.1041,13.5118
"ENSMUSG00000098201",0,0,0,0,0,0,0,0
"ENSMUSG00000103509",0,0.1157,0.3015,0,0.4348,0.0807,0.1059,0.0268
"ENSMUSG00000048538",0,0.2691,0.9348,0.4776,0.337,0,0.1643,0.249
"ENSMUSG00000103709",0,0,0,0,0,0,0,0
"ENSMUSG00000077244",0,0,0,0,0,0,0,0
"ENSMUSG00000102768",0,0,0,0,0,0,0,0
"ENSMUSG00000097797",0.1458,0.0268,0,0.143,0.0757,0.0499,0.0246,0
"ENSMUSG00000103498",0,0,0,0,0,0,0,0
"ENSMUSG00000103067",0.2437,0.0449,0,0,0,0,0,0
"ENSMUSG00000102320",0,0,0,0,0,0,0,0
"ENSMUSG00000104226",0,0,0,0,0,0,0,0
"ENSMUSG00000103903",0,0,0,0,0,0,0,0
