"","RESUB-8","RESUB-7","RESUB-6","RESUB-5","RESUB-4","RESUB-3","RESUB-2","RESUB-1"
"ENSMUSG00000102693",0,0,0,0,0,0,0,0
"ENSMUSG00000064842",0,0,0,0,0,0,0,0
"ENSMUSG00000051951",0,0,0,0,0,0,0,0
"ENSMUSG00000102851",0,0,0,0,0,0,0,0
"ENSMUSG00000103377",0,0,0,2,0,0,0,0
"ENSMUSG00000104017",0,0,0,0,0,0,0,0
"ENSMUSG00000103025",0,0,0,0,0,0,0,0
"ENSMUSG00000089699",0,0,0,0,0,0,0,0
"ENSMUSG00000103201",0,0,0,0,0,0,0,0
"ENSMUSG00000103147",0,0,0,1,0,0,0,0
"ENSMUSG00000103161",0,0,0,0,0,0,0,0
"ENSMUSG00000102331",0,0,0,1,0,0,0,0
"ENSMUSG00000102348",0,0,0,0,0,0,0,0
"ENSMUSG00000102592",0,0,0,0,0,0,0,0
"ENSMUSG00000088333",0,0,0,0,0,0,0,0
"ENSMUSG00000102343",0,0,0,0,0,0,0,0
"ENSMUSG00000025900",4,0,0,0,0,0,0,0
"ENSMUSG00000102948",0,0,0,0,0,0,0,0
"ENSMUSG00000104123",0,0,0,0,0,0,0,0
"ENSMUSG00000025902",0,0,1,8,3,0,0,0
"ENSMUSG00000104238",0,0,0,0,0,0,0,0
"ENSMUSG00000102269",0,0,0,0,0,0,0,0
"ENSMUSG00000096126",0,0,0,0,0,0,0,0
"ENSMUSG00000103003",0,0,0,0,0,0,0,0
"ENSMUSG00000104328",0,0,0,0,0,0,0,0
"ENSMUSG00000102735",0,0,0,0,0,0,0,0
"ENSMUSG00000098104",1,2,15,5,3,2,4,5
"ENSMUSG00000102175",0,2,0,0,0,0,0,2
"ENSMUSG00000088000",0,0,1,0,0,0,0,0
"ENSMUSG00000103265",0,0,0,1,0,0,0,0
"ENSMUSG00000103922",0,6,10,2,7,2,7,3
"ENSMUSG00000033845",101,876,915,466,899,857,727,775
"ENSMUSG00000102275",0,11,3,14,5,9,8,9
"ENSMUSG00000025903",215,1205,1130,658,1159,1117,1014,892
"ENSMUSG00000104217",0,3,1,0,0,6,0,1
"ENSMUSG00000033813",318,2010,1947,1173,2229,2219,1837,1681
"ENSMUSG00000062588",1,0,3,4,1,3,1,1
"ENSMUSG00000103280",0,3,0,0,0,0,0,0
"ENSMUSG00000002459",0,0,0,6,0,1,0,0
"ENSMUSG00000091305",0,0,0,0,0,0,0,0
"ENSMUSG00000102653",2,0,0,0,1,0,1,0
"ENSMUSG00000085623",0,0,0,1,0,0,0,0
"ENSMUSG00000091665",0,0,0,0,0,0,0,0
"ENSMUSG00000033793",138,889,900,721,980,919,807,828
"ENSMUSG00000104352",0,0,0,0,0,0,0,0
"ENSMUSG00000104046",0,0,0,0,0,0,0,0
"ENSMUSG00000102907",0,0,0,0,0,0,0,0
"ENSMUSG00000025905",0,1,0,0,0,0,0,0
"ENSMUSG00000103936",0,0,0,0,0,0,0,0
"ENSMUSG00000093015",0,0,0,3,0,0,0,0
"ENSMUSG00000103519",0,0,0,0,0,0,0,0
"ENSMUSG00000033774",0,0,0,0,0,0,0,0
"ENSMUSG00000103090",0,0,0,0,0,0,0,0
"ENSMUSG00000025907",50,426,500,390,525,442,411,393
"ENSMUSG00000090031",3,13,16,10,15,6,12,13
"ENSMUSG00000087247",0,0,0,0,1,0,0,0
"ENSMUSG00000103355",0,0,1,0,0,0,0,0
"ENSMUSG00000102706",0,0,0,1,0,0,0,0
"ENSMUSG00000103845",0,0,0,1,0,0,0,0
"ENSMUSG00000033740",4,1,2,4,0,6,0,1
"ENSMUSG00000103329",0,0,0,0,0,0,0,0
"ENSMUSG00000104385",0,0,0,0,0,0,0,0
"ENSMUSG00000102135",1,5,11,6,4,3,7,8
"ENSMUSG00000103282",0,0,0,0,0,0,0,0
"ENSMUSG00000102534",0,0,0,0,0,0,0,0
"ENSMUSG00000102213",0,0,0,0,0,0,0,0
"ENSMUSG00000103629",0,0,0,0,0,0,0,0
"ENSMUSG00000051285",104,957,1115,609,967,978,942,834
"ENSMUSG00000098201",0,0,0,0,0,0,0,0
"ENSMUSG00000103509",0,4,11,0,16,3,4,1
"ENSMUSG00000048538",0,3,11,5,4,0,2,3
"ENSMUSG00000103709",0,0,0,0,0,0,0,0
"ENSMUSG00000077244",0,0,0,0,0,0,0,0
"ENSMUSG00000102768",0,0,0,0,0,0,0,0
"ENSMUSG00000097797",5,1,0,5,3,2,1,0
"ENSMUSG00000103498",0,0,0,0,0,0,0,0
"ENSMUSG00000103067",5,1,0,0,0,0,0,0
"ENSMUSG00000102320",0,0,0,0,0,0,0,0
"ENSMUSG00000104226",0,0,0,0,0,0,0,0
"ENSMUSG00000103903",0,0,0,0,0,0,0,0
"ENSMUSG00000103557",0,0,0,0,0,0,0,0
"ENSMUSG00000025909",3,0,2,2,4,0,0,0
"ENSMUSG00000102647",0,0,0,0,0,0,0,0
"ENSMUSG00000086235",0,0,0,0,0,0,0,0
"ENSMUSG00000102253",0,0,0,3,0,0,0,0
"ENSMUSG00000093970",0,0,0,0,0,0,0,0
"ENSMUSG00000103884",0,0,0,0,0,0,0,0
"ENSMUSG00000084353",0,0,0,0,2,3,0,2
"ENSMUSG00000103933",1,8,3,1,4,5,3,2
"ENSMUSG00000076135",1,0,1,1,0,1,0,0
"ENSMUSG00000086195",0,0,0,0,0,0,0,0
"ENSMUSG00000104504",0,0,0,0,0,0,0,0
"ENSMUSG00000066693",0,0,0,3,0,0,0,0
"ENSMUSG00000102316",0,0,0,0,0,0,0,0
"ENSMUSG00000103819",0,0,0,0,0,0,0,0
