"","RESUB-8","RESUB-7","RESUB-6","RESUB-5","RESUB-4","RESUB-3","RESUB-2","RESUB-1"
"ENSMUSG00000033845",9.02916444656889,9.32250048495154,9.23300372591048,9.10766273189671,9.28772136656371,9.26573520461315,9.22036654011375,9.29465763209055
"ENSMUSG00000025903",9.90128064669952,9.78816164084242,9.58805553436416,9.59247599686917,9.68694692139592,9.67546239500429,9.69695981758199,9.58087335157217
"ENSMUSG00000033813",10.5523492673389,10.5547537783097,10.3819424513385,10.4213827125754,10.5988816069989,10.6208878861597,10.5467575522649,10.4669394880147
"ENSMUSG00000033793",9.37948733214214,9.39782793207427,9.27769380195976,9.5970152024758,9.43363169649521,9.39526340608866,9.38363518879344,9.42079568038077
"ENSMUSG00000025907",8.12780311748523,8.35181212745211,8.37456368314832,8.64289858678334,8.48538828994751,8.35275998104137,8.39350444077028,8.36411201724185
"ENSMUSG00000090031",3.35732372754857,3.31711071449681,3.32729879305917,3.33728974005043,3.32852907888932,3.23890965089394,3.31743663087515,3.3301746905679
"ENSMUSG00000051285",9.12965699919658,9.4749647212515,9.49306831447579,9.43314254131493,9.424498655345,9.46098457819267,9.54132667092864,9.43204683994583
"ENSMUSG00000061024",8.9856439527571,9.07475993722147,9.07456449744723,8.93780003295966,9.11115319644695,9.33712402420533,9.2135268179674,9.27635598800634
"ENSMUSG00000025912",3.62421347956766,3.52765591825632,3.42502164671483,3.39576172342341,3.67474958223988,3.3817064147251,3.36710928524225,3.38118822383485
"ENSMUSG00000045210",8.88779835985459,9.48846029583454,9.64635947313242,9.54451757134555,9.62895487711197,9.82169095751713,9.71264698480014,9.73799200192255
"ENSMUSG00000097893",3.51398955287812,3.55032392277832,3.6257196274844,3.62526797810215,3.68062015502431,3.65089143278304,3.70068942753086,3.63479279865895
"ENSMUSG00000025915",9.30418055130972,9.16834327053992,9.13548352580095,9.43915593057167,9.08980651582429,9.08163615999988,9.09004510271775,8.98743539386663
"ENSMUSG00000046101",4.43007004060937,4.16363006998585,4.1307980643415,4.44120396890545,4.21905852363314,4.18671761935167,4.16808163133443,4.20300888815072
"ENSMUSG00000098234",6.93003357987207,7.10397906042275,6.88490629553593,7.14717456415869,6.91954800418716,6.69383407204532,6.77958223387843,6.85471237947874
"ENSMUSG00000025917",9.7021291026537,9.55457123834574,9.17100467840887,9.50275562485093,9.37741672254956,9.3525499093097,9.20932491822389,9.30326856604738
"ENSMUSG00000056763",7.15271356624848,7.76309504570861,8.0098152087423,7.88445133071263,7.70714954053573,7.68498312806058,7.79672591672042,7.76133551858643
"ENSMUSG00000067851",10.2057960271407,10.2298690261934,10.3034284046303,10.0993225931198,10.3542294304243,10.3752418590474,10.2984087826119,10.1567895032894
"ENSMUSG00000025938",5.43698806721073,4.80591891549057,4.91463877251244,4.73255859839048,5.11033007033298,4.96492174054656,5.03430538842373,4.8849869761754
"ENSMUSG00000005886",9.27901707231997,9.09650286956958,9.32017364399881,8.96466415235411,9.24645022400217,9.17784178404889,9.14553165555565,9.11239143585047
