"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000044678",139.462978104659,1.62661752003898,0.196778899969554,8.2662191946934,1.38274215416032e-16,1.84872626011235e-12
"ENSMUSG00000015312",1535.31245956791,-1.44735074948495,0.206829296236676,-6.99780338578697,2.60006608841814e-12,1.04433631422648e-08
"ENSMUSG00000048621",507.56860322172,1.02254231870305,0.150725973724164,6.78411486380146,1.16800375616278e-11,2.2308871742709e-08
"ENSMUSG00000017493",376.1129852509,-2.18303250297907,0.321266986757737,-6.79507261237915,1.08257988684541e-11,2.2308871742709e-08
"ENSMUSG00000109684",109.177801736233,2.09345920314312,0.319453650552697,6.55324864662263,5.62986580292152e-11,9.40891322313259e-08
"ENSMUSG00000038894",1245.62387825369,1.83454492533147,0.296568904304545,6.18589777520165,6.17500154508097e-10,9.17330785085918e-07
"ENSMUSG00000049892",76.5702367910063,1.90544920611739,0.318736323465776,5.97813636487523,2.25704767380814e-09,3.01767273988149e-06
"ENSMUSG00000030401",146.576689506633,-5.03408586414178,0.850174535877657,-5.92123811253058,3.19526823127808e-09,3.88370329565345e-06
"ENSMUSG00000040435",4854.57491711359,1.16412327117704,0.201983308762222,5.76346272526639,8.2405459373089e-09,9.181341598485e-06
"ENSMUSG00000111213",27.9318587341388,-3.26428529659009,0.568551500070322,-5.74140653254164,9.38933787940238e-09,9.65657288058537e-06
"ENSMUSG00000032514",32.0204825827689,-5.10141190038448,0.902294488214311,-5.65382141531247,1.56919253012001e-08,1.49857886626461e-05
"ENSMUSG00000049323",660.072471187474,1.20236946483901,0.219611260056652,5.47499005528605,4.37536181905659e-08,3.44109338357568e-05
"ENSMUSG00000056185",49.2494374897112,-1.58423181065901,0.293842111670886,-5.39143896581241,6.98956997626748e-08,5.19169725459424e-05
"ENSMUSG00000079018",53.8437706963443,-2.39341205396012,0.448154340965532,-5.34059772533633,9.26406213190678e-08,6.51897424755756e-05
"ENSMUSG00000082610",17.5414922681523,-5.98907226085158,1.16179548189296,-5.15501424664978,2.53611646826317e-07,0.000169539385903393
"ENSMUSG00000045954",39.3886939174654,-2.15458524850775,0.426536600138805,-5.05134904673268,4.38700562141975e-07,0.000252342176124555
"ENSMUSG00000020718",200.702502283594,-1.5605937423038,0.309136550265597,-5.04823431898623,4.45912032304598e-07,0.000252342176124555
"ENSMUSG00000024401",285.166915391192,-2.1118096457354,0.418575288950647,-5.04523248620249,4.52970248839889e-07,0.000252342176124555
"ENSMUSG00000087485",30.1938183404127,3.144591637159,0.631500826366845,4.97955268760372,6.37314015844278e-07,0.000327726476609154
"ENSMUSG00000087020",68.782641580162,2.30627194311662,0.464296062054692,4.96724424693689,6.79110328666032e-07,0.000336285373861661
"ENSMUSG00000069270",137.306036103493,-1.66528921168656,0.343562055676643,-4.84712785993431,1.25261702137604e-06,0.000598124627707057
"ENSMUSG00000085078",60.2272235664028,2.66519023881031,0.551753773092002,4.83039784916143,1.36260507518781e-06,0.000628207926043484
"ENSMUSG00000106518",16.2713411872649,2.98690764213764,0.634545838330189,4.7071581936424,2.51193974779264e-06,0.0010177161947875
"ENSMUSG00000000320",80.9205373459339,-1.77774771443641,0.379703423856894,-4.68193754056434,2.84176075705988e-06,0.00111748062711443
"ENSMUSG00000025993",369.046353706437,-1.67644747087149,0.362317667256628,-4.62701000358359,3.70982601900342e-06,0.00132016383091703
"ENSMUSG00000029372",156.308750521868,-1.71901109112447,0.37143240200196,-4.62805905424319,3.69108775091309e-06,0.00132016383091703
"ENSMUSG00000014905",1502.74750115653,1.23498612709037,0.266969940863984,4.62593699910047,3.72908647913492e-06,0.00132016383091703
"ENSMUSG00000032766",100.630102094219,-1.77813910041882,0.390344570278207,-4.55530635190212,5.23092859310407e-06,0.00174843788224503
"ENSMUSG00000097261",38.2916617847679,1.91937006663558,0.423942249388924,4.52743285058798,5.97045641814794e-06,0.00193287915840852
"ENSMUSG00000029761",53.7017845673971,-2.38359440664678,0.526892646440063,-4.52387108218624,6.07187170180687e-06,0.00193287915840852
"ENSMUSG00000097266",15.3766636248851,-4.50813174383231,1.00332916804944,-4.49317321512391,7.01696638031158e-06,0.00218178698848293
